timestamp,open,high,low,close,volume,rate_of_return
2022-02-09,1.19,1.23,1.19,1.2,35880.57,
2022-02-10,1.2,1.24,1.14,1.15,523253.8,-0.04166666666666674
2022-02-11,1.14,1.17,1.06,1.08,697610.35,-0.060869565217391175
2022-02-12,1.08,1.1,1.01,1.06,527450.2,-0.01851851851851849
2022-02-13,1.06,1.08,1.03,1.05,287527.82,-0.009433962264150941
2022-02-14,1.04,1.08,1.01,1.06,465859.6,0.00952380952380949
2022-02-15,1.05,1.12,1.05,1.099,203937.09,0.036792452830188616
2022-02-16,1.106,1.111,1.065,1.084,71271.14,-0.013648771610555
2022-02-17,1.083,1.096,1.01,1.019,138456.07,-0.05996309963099644
2022-02-18,1.019,1.041,0.985,0.996,266201.27,-0.02257114818449446
2022-02-19,1.0,1.017,0.974,0.994,131408.42,-0.002008032128514081
2022-02-20,0.996,0.996,0.92,0.927,158951.16,-0.06740442655935608
2022-02-21,0.925,0.99,0.854,0.863,320106.07,-0.06903991370010798
2022-02-22,0.86,0.895,0.82,0.888,278013.7,0.028968713789107703
2022-02-23,0.888,0.958,0.864,0.866,487606.78,-0.024774774774774744
2022-02-24,0.868,0.896,0.731,0.854,1278463.46,-0.01385681293302543
2022-02-25,0.856,0.908,0.826,0.898,280559.06,0.051522248243559776
2022-02-26,0.902,0.929,0.882,0.885,517642.86,-0.014476614699331813
2022-02-27,0.886,0.914,0.835,0.852,345784.64,-0.03728813559322042
2022-02-28,0.852,0.973,0.843,0.966,330780.25,0.1338028169014085
2022-03-01,0.968,1.011,0.941,0.96,462061.28,-0.006211180124223614
2022-03-02,0.954,0.975,0.927,0.935,164345.6,-0.02604166666666663
2022-03-03,0.934,0.944,0.884,0.9,545812.17,-0.03743315508021394
2022-03-04,0.901,0.901,0.828,0.838,369408.58,-0.068888888888889
2022-03-05,0.837,0.881,0.819,0.863,516185.62,0.02983293556085931
2022-03-06,0.867,0.871,0.818,0.823,312142.74,-0.04634994206257248
2022-03-07,0.817,0.847,0.778,0.796,341209.92,-0.03280680437424044
2022-03-08,0.794,0.82,0.788,0.803,227006.01,0.008793969849246297
2022-03-09,0.803,0.863,0.8,0.849,766763.98,0.05728518057285181
2022-03-10,0.848,0.853,0.786,0.807,289678.7,-0.04946996466431086
2022-03-11,0.807,0.818,0.783,0.787,225640.91,-0.024783147459727428
2022-03-12,0.788,0.801,0.788,0.79,128225.52,0.003811944091486552
2022-03-13,0.789,0.82,0.78,0.787,253826.37,-0.0037974683544304
2022-03-14,0.788,0.812,0.778,0.806,400797.72,0.02414231257941557
2022-03-15,0.806,0.817,0.784,0.8,193758.74,-0.007444168734491274
2022-03-16,0.798,0.841,0.793,0.841,381113.75,0.051249999999999796
2022-03-17,0.842,0.858,0.828,0.834,343461.19,-0.00832342449464929
2022-03-18,0.834,0.86,0.822,0.851,205507.91,0.020383693045563644
2022-03-19,0.853,0.914,0.853,0.904,364956.46,0.062279670975323276
2022-03-20,0.906,0.915,0.864,0.88,225977.9,-0.026548672566371723
2022-03-21,0.878,0.93,0.863,0.918,182528.61,0.04318181818181821
2022-03-22,0.92,0.988,0.909,0.976,822214.01,0.06318082788671009
2022-03-23,0.979,1.11,0.958,1.105,1019188.9,0.132172131147541
2022-03-24,1.105,1.194,1.081,1.13,1426781.86,0.02262443438914019
2022-03-25,1.13,1.167,1.073,1.094,919523.41,-0.03185840707964582
2022-03-26,1.093,1.159,1.08,1.15,317326.0,0.051188299817184424
2022-03-27,1.15,1.187,1.106,1.184,406262.24,0.029565217391304355
2022-03-28,1.185,1.245,1.159,1.169,868383.68,-0.012668918918918859
2022-03-29,1.17,1.242,1.168,1.184,548851.5,0.01283147989734812
2022-03-30,1.185,1.219,1.162,1.185,323000.53,0.0008445945945947386
2022-03-31,1.188,1.228,1.133,1.142,433293.75,-0.036286919831223785
2022-04-01,1.145,1.174,1.104,1.159,558469.07,0.014886164623467701
2022-04-02,1.158,1.195,1.148,1.157,238039.26,-0.0017256255392580355
2022-04-03,1.156,1.2,1.143,1.184,254652.88,0.023336214347450257
2022-04-04,1.18,1.245,1.162,1.211,674399.67,0.022804054054054168
2022-04-05,1.216,1.218,1.163,1.17,221686.72,-0.03385631709331138
2022-04-06,1.17,1.172,1.048,1.051,613462.4,-0.10170940170940168
2022-04-07,1.053,1.101,1.04,1.09,246692.02,0.0371075166508088
2022-04-08,1.088,1.099,0.994,1.025,1225520.6,-0.05963302752293598
2022-04-09,1.023,1.047,0.995,1.044,1103777.4,0.018536585365853675
2022-04-10,1.041,1.069,1.024,1.026,107161.76,-0.017241379310344862
2022-04-11,1.028,1.032,0.916,0.922,2274161.76,-0.10136452241715399
2022-04-12,0.924,0.982,0.917,0.954,205340.59,0.034707158351409806
2022-04-13,0.955,0.98,0.936,0.975,186988.6,0.022012578616352307
2022-04-14,0.97,0.986,0.924,0.934,185995.82,-0.042051282051281946
2022-04-15,0.937,0.958,0.93,0.955,71065.67,0.0224839400428265
2022-04-16,0.953,0.962,0.938,0.95,101989.04,-0.005235602094240788
2022-04-17,0.952,0.961,0.912,0.914,158309.99,-0.0378947368421052
2022-04-18,0.913,0.938,0.873,0.937,367096.35,0.02516411378555805
2022-04-19,0.937,0.957,0.927,0.95,451098.29,0.01387406616862319
2022-04-20,0.948,0.975,0.93,0.938,250774.35,-0.012631578947368438
2022-04-21,0.938,0.97,0.892,0.91,573267.18,-0.02985074626865658
2022-04-22,0.908,0.924,0.892,0.906,364865.17,-0.00439560439560438
2022-04-23,0.91,0.912,0.882,0.888,96534.8,-0.019867549668874163
2022-04-24,0.889,0.898,0.878,0.887,145912.59,-0.0011261261261261701
2022-04-25,0.884,0.902,0.827,0.899,363022.81,0.013528748590755368
2022-04-26,0.896,0.9,0.817,0.826,325280.47,-0.08120133481646286
2022-04-27,0.823,0.856,0.819,0.841,522801.81,0.018159806295399594
2022-04-28,0.841,0.853,0.826,0.844,315664.51,0.00356718192627814
2022-04-29,0.844,0.849,0.789,0.803,417988.16,-0.048578199052132565
2022-04-30,0.804,0.817,0.738,0.754,548884.08,-0.06102117061021173
2022-05-01,0.76,0.8,0.746,0.79,441865.49,0.04774535809018565
2022-05-02,0.789,0.797,0.765,0.779,440878.06,-0.013924050632911356
2022-05-03,0.777,0.799,0.76,0.775,725849.51,-0.005134788189987138
2022-05-04,0.774,0.9,0.771,0.9,742161.29,0.16129032258064524
2022-05-05,0.901,0.906,0.772,0.787,1002042.52,-0.12555555555555553
2022-05-06,0.787,0.799,0.762,0.78,607202.64,-0.008894536213468918
2022-05-07,0.779,0.785,0.748,0.761,255778.33,-0.024358974358974383
2022-05-08,0.761,0.766,0.727,0.741,462781.74,-0.026281208935611033
2022-05-09,0.744,0.754,0.599,0.604,3254502.91,-0.184885290148448
2022-05-10,0.603,0.703,0.584,0.631,783257.48,0.04470198675496695
2022-05-11,0.632,0.661,0.477,0.52,2240067.43,-0.17591125198098256
2022-05-12,0.521,0.552,0.405,0.474,2699642.93,-0.08846153846153859
2022-05-13,0.473,0.608,0.471,0.529,1633181.1,0.11603375527426163
2022-05-14,0.531,0.556,0.49,0.538,1180058.67,0.017013232514177634
2022-05-15,0.536,0.599,0.515,0.59,609756.16,0.09665427509293667
2022-05-16,0.59,0.614,0.545,0.558,728477.9,-0.05423728813559303
2022-05-17,0.558,0.6,0.552,0.577,1184692.44,0.034050179211469356
2022-05-18,0.583,0.586,0.503,0.503,474381.06,-0.12824956672443666
2022-05-19,0.509,0.547,0.493,0.531,480036.0,0.055666003976143186
2022-05-20,0.531,0.546,0.502,0.515,1033936.57,-0.030131826741996215
2022-05-21,0.518,0.538,0.509,0.528,391790.52,0.025242718446601975
2022-05-22,0.529,0.548,0.523,0.542,130330.13,0.026515151515151603
2022-05-23,0.541,0.559,0.504,0.514,458853.7,-0.05166051660516613
2022-05-24,0.512,0.526,0.493,0.519,382661.35,0.009727626459143934
2022-05-25,0.518,0.533,0.508,0.518,167808.56,-0.0019267822736031004
2022-05-26,0.519,0.52,0.462,0.48,351183.26,-0.07335907335907343
2022-05-27,0.478,0.483,0.445,0.457,341964.55,-0.04791666666666661
2022-05-28,0.457,0.469,0.448,0.465,129677.62,0.017505470459518557
2022-05-29,0.465,0.484,0.456,0.484,107756.5,0.04086021505376336
2022-05-30,0.485,0.578,0.478,0.571,561220.74,0.17975206611570238
2022-05-31,0.572,0.688,0.569,0.628,2684983.63,0.09982486865148865
2022-06-01,0.627,0.631,0.537,0.551,525607.69,-0.12261146496815278
